No.,Item,Description,Date,"Transaction
Type",Quantity,Unit,Assigned,Assign history,Status,S/N,Remark
698,Laptop Dell Latitude 3520 ,give for SN to repair,2025-01-02 00:00:00,out,1.0,pcs,,,,JJNZDX3,
699,Laptop Dell Latitude 3520 ,give for SN to repair,2025-01-02 00:00:00,out,1.0,pcs,,,,DP8VKG3,
700,Postek printer ,O2O for VA20,2025-12-02 00:00:00,out,1.0,pcs,,,,I1624C0017 ,
701,Lenovo tab M8 ,O2O for VA20,2025-12-02 00:00:00,out,1.0,pcs,,,,862884053049927 ,
702,Postek printer ,O2O for VA14,2025-12-02 00:00:00,out,1.0,pcs,,,,I1624C0018,
703,Samsung S6 Lite,O2O for VA14,2025-12-02 00:00:00,out,1.0,pcs,,,,354348130452407,
704,Sim 4G,O2O for VA14,2025-12-02 00:00:00,out,1.0,pcs,,,,8984048000916470000,
705,Postek printer ,O2O for VA13,2025-12-02 00:00:00,out,1.0,pcs,,,,I1624C0001,
706,Lenovo tab M8 ,O2O for VA13,2025-12-02 00:00:00,out,1.0,pcs,,,,862854053050057,
707,Sim 4G,O2O for VA13,2025-12-02 00:00:00,out,1.0,pcs,,,,8984048000934180000,
708,Postek printer ,O2O for VI03,2025-12-02 00:00:00,out,1.0,pcs,,,,I1623H0003 ,
709,Lenovo tab M8 ,O2O for VI03,2025-12-02 00:00:00,out,1.0,pcs,,,,862854053049620 ,
710,Postek printer ,O2O for VN22,2025-12-02 00:00:00,out,1.0,pcs,,,,I1623F0001,
711,Samsung S6 Lite,O2O for VN22,2025-12-02 00:00:00,out,1.0,pcs,,,,352294624027473,
712,Canon LBP 2900,Closed VE12,13/2/2025,in,1.0,pcs,,,,NMYA921017,
713,Cisco CBS110-16T-EU,Closed VE12,13/2/2025,in,1.0,pcs,,,,PSZ27111BN9,
714,Fortigate-40F,Closed  KN12,13/2/2025,in,1.0,pcs,,,,FGT40FTK2309FAZ6,
715,Scanner Datalogic QW2100,Closed VE12,13/2/2025,in,1.0,pcs,,,,G23D05195,
716,Epson TM-82III,Closed VE12,13/2/2025,in,1.0,pcs,,,,X7B9022774,
717,Pole Display DSP V9,Closed VE12,13/2/2025,in,1.0,pcs,,,,D190928010208,
718,HP V20,Closed VE12,13/2/2025,in,1.0,pcs,,,,3CQ2320DV1,
719,Desktop HP HP ProDesk 400 G3 MT,Closed VE03,24/02/2025,in,1.0,pcs,,,,SGH649PK2B,
720,Bill Printer Epson TM-T82III,Closed VE03,24/02/2025,in,1.0,pcs,,,,X7BA004103,
721,Monitor Dell ,Closed VE03,24/02/2025,in,1.0,pcs,,,,CN-098W4H---2V8M,
722,Scanner Datalogic QW2100,Closed VE03,24/02/2025,in,1.0,pcs,,,,G21E85723,
723,Cash Drawer Maken MK410,Closed VE03,24/02/2025,in,1.0,pcs,,,,MK410210300816,
724,Pole Display  VFD220U,Closed VE03,24/02/2025,in,1.0,pcs,,,,120034,
725,TP link tl sf1008d,Closed VE03,24/02/2025,in,1.0,pcs,,,,TL-SF1008d,
726,Desktop HP  Prodesk 400G3 DM,Closed VN04,24/02/2025,in,1.0,pcs,,,,8CG8105N2V,
727,A4 Printer HP Neverstop Laser 1000w,Closed VN04,24/02/2025,in,1.0,pcs,,,,CNBRP83386,
728,Cash Drawer Maken MK410,Closed VN04,24/02/2025,in,1.0,pcs,,,,MK410210300431,
729,Pole Display  VFD220U,Closed VN04,24/02/2025,in,1.0,pcs,,,,120032,
730,Scanner Datalogic QW2100,Closed VN04,24/02/2025,in,1.0,pcs,,,,G21M82741,
731,Bill Printer Epson TM-T82III,Closed VN04,24/02/2025,in,1.0,pcs,,,,X7BA004091,
732,Monitor HP V190,Closed VN04,24/02/2025,in,1.0,pcs,,,,1CR82307CR,
733,Dell E2216HV,Closed VN04,24/02/2025,in,1.0,pcs,,,,CN-OXTW00-FCC00-21L-DFDB-A15,
734,Maken MK410,VA14,25/02/2025,out,1.0,pcs,,VN24,,MK410220300534,
735,Laptop Hp ProBook 440 G9,VA23,2025-05-03 00:00:00,out,1.0,pcs,,,,5CD250F9ZW,
736,Poscom,Closed ZV07,2025-05-03 00:00:00,in,1.0,pcs,,,,,
737,USB Wifi TP-Link AC1300,Closed ZV07,2025-05-03 00:00:00,in,1.0,pcs,,,,,
738,Datalogic QW2100,Closed ZV07,2025-05-03 00:00:00,in,1.0,pcs,,,,G23C76551,
739,Epson TM-82III,Closed ZV07,2025-05-03 00:00:00,in,1.0,pcs,,,,X7BA003673,
740,HP Laser NEVERSTOP 1000W,Closed ZV07,2025-05-03 00:00:00,in,1.0,pcs,,,,CNBRP837ZY,
741,KPOS-VFD-220U,Closed ZV07,2025-05-03 00:00:00,in,1.0,pcs,,,,VFD220U13B20120039,
742,Fortigate-40F,Closed VR12,2025-07-03 00:00:00,in,1.0,pcs,,,,FGT40FTK24012877,
743,Epson TM-82III,Closed VR12,2025-07-03 00:00:00,in,1.0,pcs,,,,X7B9025198,
744,HP ProDesk 400 G6 DM,Closed VR12,2025-07-03 00:00:00,,1.0,pcs,,,,,
745,Canon LBP 2900,Closed VR12,2025-07-03 00:00:00,in,1.0,pcs,,,,NMYA922095,
746,Scanner Datalogic QW2100,Closed VR12,2025-07-03 00:00:00,in,1.0,pcs,,,,G23D05251,
747, HP V20,Closed VR12,2025-07-03 00:00:00,in,1.0,pcs,,,,3CQ2320F08,
748,Pole Display,Closed VR12,2025-07-03 00:00:00,in,1.0,pcs,,,,D190928010130\MK,
749,Cisco CBS110-16T-EU,Closed VR12,2025-07-03 00:00:00,in,1.0,pcs,,,,PSZ27111C7N,
750,HP ProDesk 400 G6 DM,Closed VE12,2025-07-03 00:00:00,in,1.0,pcs,,,,8CC22011LP,
751,Laptop Hp ProBook 440 G9,Event zv25,2025-11-03 00:00:00,out,1.0,pcs,,,,5CD250F9PD,
752,Scanner Datalogic QW2100,Event zv25,2025-11-03 00:00:00,out,1.0,pcs,,,,G21E85754,
753,Epson TM-82III,Event zv25,2025-11-03 00:00:00,out,1.0,pcs,,,,X7B9025644,
754,Fortigate-40F,Vi03,20/3/2025,out,1.0,pcs,,,,FGT40FTK2309D2DB,
755,Laptop Dell Latitude 3520 ,VN03 Event,2025-01-04 00:00:00,out,1.0,pcs,,,,JWZF7S3 ,
756,Epson TM-82III ,VN03 Event,2025-01-04 00:00:00,out,1.0,pcs,,,,X7BA002821 ,
757,Scanner Datalogic QW2100 ,VN03 Event,2025-01-04 00:00:00,out,1.0,pcs,,,,G22F27244 ,
758,Laptop Lenovo Thinkpad X280 ,VA08 event,2025-05-15 00:00:00,out,1.0,pcs,,,,PC0VT5R5 ,
759,Epson TM-82III ,VA08 event,2025-05-15 00:00:00,out,1.0,pcs,,,,X7B9022786 ,
760,Scanner Datalogic QW2100 ,VA08 event,2025-05-15 00:00:00,out,1.0,pcs,,,,G23C76627 ,
761,TP-Link MR6400 ,,25/05/2025,in,1.0,pcs,ZV10,,,2234111003742,
762,TP-Link MR6400 ,For VN03,25/05/2025,out,1.0,pcs,,,,2234111003742,
763,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D67986B5,
764,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D67985DB,
765,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6798566,
766,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D67981E2,
767,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6798854,
768,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D679802B,
769,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6797F4E,
770,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D679882E,
771,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D67987D6,
772,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6798563,
773,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6797F4B,
774,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6797F57,
775,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D679886A,
776,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6798618,
777,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D67986D9,
778,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D6798529,
779,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D67987ED,
780,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D679862C,
781,Wifi UBIQUITI UniFi,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,9C05D679853C,
782,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,241646422789,
783,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416164220532,
784,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416564220113,
785,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416164220360,
786,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416464222756,
787,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416564220341,
788,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416464222668,
789,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416464222684,
790,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416464222661,
791,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416164223427,
792,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416564220914,
793,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2414464221654,
794,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416364221407,
795,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416564220005,
796,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416464222699,
797,Zebra TC26BK,Nhập Từ Sóng Nam ,2025-05-29 00:00:00,in,1.0,pcs,,,,2416464222817,
798,Fortigate-40F,VA23,2025-02-06 00:00:00,out,1.0,pcs,,,,FGT40FTK24012877,
799,Zebra TC26BK,VN09,2025-04-06 00:00:00,out,1.0,pcs,,,,24161523023427,
800,Zebra TC26BK,VN16,2025-04-06 00:00:00,out,1.0,pcs,,,,24165523020341,
801,Zebra TC26BK,VN05,2025-04-06 00:00:00,out,1.0,pcs,,,,24144523021654,
802,Zebra TC26BK,VN08,2025-04-06 00:00:00,out,1.0,pcs,,,,24161523020360,
803,Zebra TC26BK,VN12,2025-04-06 00:00:00,out,1.0,pcs,,,,24164523022817,
804,Zebra TC26BK,VN07,2025-04-06 00:00:00,out,1.0,pcs,,,,24165523020914,
805,Zebra TC26BK,VN27,2025-04-06 00:00:00,out,1.0,pcs,,,,24161523020532,
806,Zebra TC26BK, VA11,2025-04-06 00:00:00,out,1.0,pcs,,,,24164523022699,
807,Zebra TC26BK,VA03,2025-04-06 00:00:00,out,1.0,pcs,,,,24164523022789,
808,Zebra TC26BK,VA08,2025-04-06 00:00:00,out,1.0,pcs,,,,24165523020005,
809,Zebra TC26BK,VA12,2025-04-06 00:00:00,out,1.0,pcs,,,,24248523020405,
810,Zebra TC26BK,VA01,2025-04-06 00:00:00,out,1.0,pcs,,,,24164523022661,
811,Zebra TC26BK,VA05,2025-04-06 00:00:00,out,1.0,pcs,,,,24163523021407,
812,Zebra TC26BK,VA15,2025-04-06 00:00:00,out,1.0,pcs,,,,24164523022668,
813,Zebra TC26BK,VA16,2025-04-06 00:00:00,out,1.0,pcs,,,,S24144523021519,
814,Zebra TC26BK,VA13,2025-04-06 00:00:00,out,1.0,pcs,,,,24165523020013,
815,Zebra TC26BK,VA14,2025-04-06 00:00:00,out,1.0,pcs,,,,24144523021823,
816,Zebra TC26BK,VA20,2025-04-06 00:00:00,out,1.0,pcs,,,,24164523022756,
817,Bill Printer Epson TM-T82III,VI02 & VR02,16/06/2025,in,1.0,pcs,,,,TCCY011121,
818,Scanner Datalogic QW2100,VI02 & VR02,16/06/2025,in,1.0,pcs,,,,G14MA2902,
819,Laptop Hp ProBook 440 G9,Event zv25,24/6/2025,in,1.0,pcs,,,,5CD250F9PD,
820,Scanner Datalogic QW2100,Event zv25,24/6/2025,in,1.0,pcs,,,,G21E85754,
821,Epson TM-82III,Event zv25,24/6/2025,in,1.0,pcs,,,,X7B9025644,
822,Laptop Hp ProBook 440 G9,Event VN09,25/6/2025,out,1.0,pcs,,,,5CD250F9PD,
823,Scanner Datalogic QW2100,Event VN09,25/6/2025,out,1.0,pcs,,,,G21E85754,
824,Epson TM-82III,Event VN09,25/6/2025,out,1.0,pcs,,,,X7B9025644,
825,Laptop Dell Latitude 3520 ,Event VN10,25/6/2025,out,1.0,pcs,,,,5R4JGL3 ,
826,Bill Printer Epson TM-T82III ,Event VN10,25/6/2025,out,1.0,pcs,,,,X7BA004103 ,
827,Datalogic QW2100 ,Event VN10,25/6/2025,out,1.0,pcs,,,,G14MA2902 ,
828,Laptop Dell Latitude 3520,Vi02&Vr02,25/6/2025,in,1.0,pcs,,,,H4K0BG3 ,
829,Postek printer,VN22,2025-01-07 00:00:00,in,1.0,pcs,,,,I1623F0001,
830,Mercusys,VN22,2025-01-07 00:00:00,in,1.0,pcs,,,,22253D9009558,
831,Mercusys,VN22,2025-01-07 00:00:00,in,1.0,pcs,,,,22253D9009594,thíu sạc
832,A4 Printer HP LaserJet,VI03,2025-07-07 00:00:00,out,1.0,pcs,,,,VNC3K04690,
833,Desktop HP  PRO MINI 400 G9,for upgrade Win11,30/07/2025,in,1.0,pcs,,,,8CC51110Q1,
834,Desktop HP  PRO MINI 400 G9,for upgrade Win11,30/07/2025,in,1.0,pcs,,,,8CC51110SM,
835,Desktop HP  PRO MINI 400 G9,for upgrade Win11,30/07/2025,in,1.0,pcs,,,,8CC51110T7,
836,Desktop HP  PRO MINI 400 G9,for upgrade Win11,30/07/2025,in,1.0,pcs,,,,8CC51110R7,
837,Desktop HP  PRO MINI 400 G9,for upgrade Win11,30/07/2025,in,1.0,pcs,,,,8CC51110PK,
838,Desktop HP  PRO MINI 400 G9,for upgrade Win11,30/07/2025,in,1.0,pcs,,,,8CC51110T0,
839,Laptop Hp ProBook 440 G9,Event VN09 Back,31/07/2025,in,1.0,pcs,,,,5CD250F9PD,
840,Scanner Datalogic QW2100,Event VN09 Back,31/07/2025,in,1.0,pcs,,,,G21E85754,
841,Epson TM-82III,Event VN09 Back,31/07/2025,in,1.0,pcs,,,,X7B9025644,
842,Laptop Dell Latitude 3520 ,Event VN10 Back,31/07/2025,in,1.0,pcs,,,,5R4JGL3 ,
843,Bill Printer Epson TM-T82III ,Event VN10 Back,31/07/2025,in,1.0,pcs,,,,X7BA004103 ,
844,Datalogic QW2100 ,Event VN10 Back,31/07/2025,in,1.0,pcs,,,,G14MA2902 ,
845,Sim 4g,VN22 trả về (cửa hàng tự mua),2025-04-08 00:00:00,in,1.0,pcs,,,,,
846,Sim 4g,lấy của vn22 cấp cho va14,2025-04-08 00:00:00,out,1.0,pcs,,,,,
847,Laptop Hp ProBook 440 G9,VH02,2025-07-08 00:00:00,out,1.0,pcs,,,,5CD250F9PD,
848,Scanner Datalogic QW2100,VH02,2025-07-08 00:00:00,out,1.0,pcs,,,,G23C76607,
849,Epson TM-82III,VH02,2025-07-08 00:00:00,out,1.0,pcs,,,,X7BA003673,
850,Canon LBP 2900,VH02,2025-07-08 00:00:00,out,1.0,pcs,,,,NMYA834196,
851,Epson TM-82III,vn16,2025-08-08 00:00:00,out,1.0,pcs,,,,X7BA002821,
852,Ugreen Silent MU006 Wireless Mouse,Sóng nam giao,2025-08-08 00:00:00,in,1.0,pcs,,,,,
853,Ugreen Silent MU006 Wireless Mouse,Sóng nam giao,2025-08-08 00:00:00,in,1.0,pcs,,,,,
854,Ugreen Silent MU006 Wireless Mouse,Sóng nam giao,2025-08-08 00:00:00,in,1.0,pcs,,,,,
855,Ugreen Silent MU006 Wireless Mouse,Sóng nam giao,2025-08-08 00:00:00,in,1.0,pcs,,,,,
856,Ugreen Silent MU006 Wireless Mouse,Sóng nam giao,2025-08-08 00:00:00,in,1.0,pcs,,,,,
857,Ugreen Silent MU006 Wireless Mouse,,2025-08-08 00:00:00,out,1.0,pcs,,,,for Trang.taquynh,
858,Ugreen Silent MU006 Wireless Mouse,,2025-08-08 00:00:00,out,1.0,pcs,,,,for trinh.vanhuynhtu,
859,Ugreen Silent MU006 Wireless Mouse,,2025-08-08 00:00:00,out,1.0,pcs,,,,for Ngoc.nguyenduyen,
860,Ugreen Silent MU006 Wireless Mouse,,2025-08-08 00:00:00,out,1.0,pcs,,,,for danh.huynhmy,
861,Ugreen Silent MU006 Wireless Mouse,,2025-08-08 00:00:00,out,1.0,pcs,,,,for  Qui.Nguyenthi,
862,Desktop HP  PRO MINI 400 G9,Greentech giao,2025-12-08 00:00:00,in,1.0,pcs,,,,8CC3500VVD,
863,Desktop HP  PRO MINI 400 G9,,2025-12-08 00:00:00,in,1.0,pcs,,,,,
864,Desktop HP  PRO MINI 400 G9,,2025-12-08 00:00:00,in,1.0,pcs,,,,,
865,Desktop HP  PRO MINI 400 G9,,2025-12-08 00:00:00,in,1.0,pcs,,,,,
866,Desktop HP  PRO MINI 400 G9,,2025-12-08 00:00:00,in,1.0,pcs,,,,,
867,Desktop HP  PRO MINI 400 G9,Change hardware for VN16,2025-12-08 00:00:00,out,1.0,pcs,,,,8CC3500VVD,
868,Desktop HP  PRO MINI 400 G3,VN16,2025-12-08 00:00:00,in,1.0,pcs,,,,8CG8105N2C,
869,SSD 990EVO Plus 1TB,For  Nguyen Ngoc Lan Anh,2025-12-08 00:00:00,in,1.0,pcs,,,,,
870,Sim 4G,for zv36 and zv35,2025-12-08 00:00:00,in,2.0,pcs,,,,,
871,Canon LBP 2900,VN19,18/08/2025,out,1.0,pcs,,,,NMYA782038,
872,Maken MK410,For ZV34(VN03 old),20/08/2025,out,1.0,pcs,,,,MK410210300816,
873,Desktop HP  PRO MINI 400 G9,Replace for VN10,2025-08-09 00:00:00,out,1.0,pcs,,,,8CC51110PK,
874,Lenovo tab M8,Back up for VA14,2025-10-09 00:00:00,out,1.0,pcs,,,,HA1JZCBD,
875,Postek printer,Change for VA14,30/09/2025,out,1.0,pcs,,,,I1624C0003,
876,Postek printer,Recall from VA14,30/09/2025,in,1.0,pcs,,,,I1624C0018,
877,Desktop HP  PRO MINI 400 G9,Replace for Vn09,13/10/2025,out,1.0,pcs,,,,8CC51110SM,
878,Latitude 3450,for Geodis ,14/10/2025,in,1.0,pcs,,,,JTGSPB4 ,"13th Gen Intel(R) Core(TM) i5-1335U (12 CPUs), ~1.3GHz  22VN00000109"
879,Latitude 3450,for Geodis,14/10/2025,in,1.0,pcs,,,,9PKSPB4,"13th Gen Intel(R) Core(TM) i5-1335U (12 CPUs), ~1.3GHz  22VN00000110"
880,Latitude 3450,for Geodis,14/10/2025,in,1.0,pcs,,,,3XMPPB4,"13th Gen Intel(R) Core(TM) i5-1335U (12 CPUs), ~1.3GHz  22VN00000108"
881, HP Pro Tower 400 G9 PCI Desktop PC,for Geodis,14/10/2025,in,1.0,pcs,,,,4CE425CCX1,"12th Gen Intel(R) Core(TM) i5-12500 (12 CPUs), ~3.0GHz 22VN00000111"
882, HP Pro Tower 400 G9 PCI Desktop PC,for Geodis,14/10/2025,in,1.0,pcs,,,,4CE425CCX8,"12th Gen Intel(R) Core(TM) i5-12500 (12 CPUs), ~3.0GHz 22VN00000112"
883, HP Pro Tower 400 G9 PCI Desktop PC,for Geodis,14/10/2025,in,1.0,pcs,,,,4CE425CKN0,"12th Gen Intel(R) Core(TM) i5-12500 (12 CPUs), ~3.0GHz 22VN00000113"
884, HP Pro Tower 400 G9 PCI Desktop PC,for Geodis,14/10/2025,in,1.0,pcs,,,,4CE425CKP2,"12th Gen Intel(R) Core(TM) i5-12500 (12 CPUs), ~3.0GHz 22VN00000114"
885,HP P204V,for Geodis,14/10/2025,in,1.0,pcs,,,,3CQ41608RT,
886,HP P204V,for Geodis,14/10/2025,in,1.0,pcs,,,,3CQ41805TJ,
887,HP P204V,for Geodis,14/10/2025,in,1.0,pcs,,,,3CQ41608TQ,
888,HP P204V,for Geodis,14/10/2025,in,1.0,pcs,,,,3CQ41608SZ,
889,Samsung Galaxy Tab S10 FE,for Geodis,14/10/2025,in,1.0,pcs,,,,356160462079437,
890,Samsung Galaxy Tab S10 FE,for Geodis,14/10/2025,in,1.0,pcs,,,,356160462031834,
891,Laptop Hp ProBook 440 G9,ZV39,27/10/2025,out,1.0,pcs,,,,5CD3094YZR,
892,Scanner Datalogic QW2100,ZV39,27/10/2025,out,1.0,pcs,,,,G21M82741,
893,Epson TM-82III,ZV39,27/10/2025,out,1.0,pcs,,,,X7BA002838,
894,Modem 4G TP-Link M7350,ZV39,27/10/2025,out,1.0,pcs,,,,22234W2003067,
895,Samsung Galaxy Tab S10 FE ,sóng nam giao,29/10/2025,in,1.0,pcs,,,,356160462316391 ,
896,Ipad Air 13-inch(M3) ,Buy for A001,,in,1.0,pcs,,,,F7N4GGJ73G ,
897,HP Pro Mini 400 G6 -  ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,8CC3161T0J ,
898,Poscom ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,20201130040 ,
899,Pole Display VFD ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,VFD220U13B2012003 ,
900,Datalogic QW2100 ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,G21M82792 ,
901,Monitor HP V190 ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,1CR82307C4 ,
902,Epson TM-82III ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,X7B9022774 ,
903,Cisco CBS110-16T-EU  ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,PSZ27181AHK ,
904,Unifi NanoHD ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,AC8BA9548380 ,
905,Fortigate FG-40F,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,FGT40FTK2309D2D4 ,
906,HP laser 107a ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,CNB3Q9MLY6 ,
907,Zebra TC26BK-11A222-A6 ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,S24165523020818 ,
908,Ipad Air 13-inch(M3) ,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,F7N4GGJ73G ,
909,Star-SM-L200-UB40,For A001,2025-01-11 00:00:00,out,1.0,pcs,,,,2530022102301145 ,
910,Laptop Hp ProBook 440 G9 ,VH01,2025-07-08 00:00:00,out,1.0,pcs,,,,5CD250F9PD ,
911,Scanner Datalogic QW2100 ,VH01,2025-07-08 00:00:00,out,1.0,pcs,,,,G23C76607 ,
912,Epson TM-82III ,VH01,2025-07-08 00:00:00,out,1.0,pcs,,,,X7BA003673 ,
913,Canon LBP 2900 ,VH01,2025-07-08 00:00:00,out,1.0,pcs,,,,NMYA834196 ,
914,Laptop HP PROBOOK 440 G9 ,ZV40,19/11/2025,out,1.0,pcs,,,,5CD3094YZR ,
915,Epson TM-82III ,ZV40,19/11/2025,out,1.0,pcs,,,,X7BA002838 ,
916,TP-Link MR6400 ,ZV40,19/11/2025,out,1.0,pcs,,,,2234111003742,
917,Scanner Datalogic QW2100 ,ZV40,19/11/2025,out,1.0,pcs,,,,G20L70063 ,
918,A4 Printer HP Neverstop laser 1000w ,VN05,19/11/2025,in,1.0,pcs,,,,CNBRP8339D ,
919,A4 Printer HP Neverstop laser 1000w ,VN05,19/11/2025,out,1.0,pcs,,,,CNBRP8297B,
920,Laptop Dell Latitude 3520 ,Event VA13,19/11/2025,out,1.0,pcs,,,,3DYF7S3,
921,Epson TM-82III ,Event VA13,19/11/2025,out,1.0,pcs,,,,X7BA007405 ,
922,Scanner Datalogic QW2100 ,Event VA13,19/11/2025,out,1.0,pcs,,,,G21M82827 ,
923,Epson TM-82III ,VN05,4/11/205,out,1.0,pcs,,,,X7BA000889,
924,Ruijie RG-EW1200G Pro,for A001,30/12/2025,in,1.0,pcs,,,,ZAU82MM028440,
925,Ruijie RG-EW1200G Pro,for A002,30/12/2025,in,1.0,pcs,,,,ZAU82MM037794,
926,Samsung Tab S6,VN08 close,30/12/2025,in,1.0,pcs,,,,352294624027440,
927,Postek printer,VN08 close,30/12/2025,in,1.0,pcs,,,,I1622F0007,
928,Desktop HP  PRO MINI 400 G9,V003,12/01/2026,out,1.0,pcs,,,,8CC3500VNJ,
929,Desktop HP  PRO MINI 400 G9,V003,12/01/2026,out,1.0,pcs,,,,8CC3500VSH,
930,Switch Ubiquiti UniFi Switch 24 PoE (USW-24-PoE),V003,12/01/2026,out,1.0,pcs,,,,1C6A1B99A032,
931,Cisco CBS110-16T-EU ,V003,12/01/2026,out,1.0,pcs,,,,KWC29190Y0L,
932,Unifi-UAP-nanoHD,V003,12/01/2026,out,1.0,pcs,,,,1C6A1B1F094D,
933,Unifi-UAP-nanoHD,V003,12/01/2026,out,1.0,pcs,,,,1C6A1B1EFD41,
934,Unifi-UAP-nanoHD,V003,12/01/2026,out,1.0,pcs,,,,1C6A1B1EFB0D,
935,Zebra TC26BK,V003,12/01/2026,out,1.0,pcs,,,,352714115510901,
936,Zebra TC26BK,V003,12/01/2026,out,1.0,pcs,,,,S24165523020007,
937,Zebra TC26BK,V003,12/01/2026,out,1.0,pcs,,,,S24164523022749 ,
938,Zebra TC26BK,V003,12/01/2026,out,1.0,pcs,,,,S24144523021867,
939,Zebra TC26BK,V003,12/01/2026,out,1.0,pcs,,,,S24164523022750,
940,Star-SM-L200-UB40,V003,12/01/2026,out,1.0,pcs,,,,2534123052300532,
941,Star-SM-L200-UB40,V003,12/01/2026,out,1.0,pcs,,,,2530022102301146,
942,Samsung Galaxy Tab S10 FE 5G 8GB 128GB,V003,12/01/2026,out,1.0,pcs,,,,356160461428445,
943,"Máy in mã vạch Postek IQ200, 203dpi -Bluetooth ",V003,12/01/2026,out,1.0,pcs,,,,I1624C0004,
944,Máy tính trạm Dell Precision 3680 Tower,V003,12/01/2026,out,1.0,pcs,,,, 91DR874,
